ppm-Classe,72-C,30-C,18-C,103-C,87-C,90-C,96-C,15-C,118-C,134-C,93-C,7-C,151-C,5-C,28-C,122-C,51-C,64-C,41-C,127-C,113-C,128-C,89-C,120-C,98-C,58-C,110-C,126-C,59-C,148-C,36-C,34-C,79-C,48-C,22-C,85-C,67-H,44-H,24-H,115-H,53-H,101-H,119-H,104-H,86-H,47-H,27-H,39-H,40-H,135-H,32-H,31-H,10-H,19-H,147-H,99-H,33-H,76-H,75-H,132-H,70-H,43-H,16-H,95-H,13-H,73-H,123-H,54-H,6-H,42-H,46-H,111-H
3.6489,0.5250467591874983,0.6642465952575276,0.6720126485346303,0.6907818076608685,0.6771029871891789,0.6009408388345733,0.886680439184927,0.7752905565986881,0.5518213628702063,0.7696450838022049,0.6161808326344339,0.8459922037654296,1.403299211614951,0.5421284907066977,0.6157260738121272,0.7574808785611495,0.7343260725994954,0.6717864802774415,0.6125731407672113,1.0399017539825703,0.5691515651205131,0.7880989015686485,0.7450313991610318,0.8403812611124253,0.6248360043395578,0.9291399020773815,0.5152188515182032,0.6616554756930075,0.703839851046443,0.51441610124962,0.5532616778842695,0.8548783217877232,0.8179799142311898,0.5046270735831144,0.5904785361916604,0.570800847049726,0.8246545709517512,0.7476321177225045,0.6854775906337361,0.7385786030824628,0.8725044167651159,0.9005818764165989,0.6447755778914951,0.6169591279830225,1.0898908208097389,0.5455957451991132,0.8187676346143467,0.5687766769998961,0.6238091685532999,0.9176835425934315,0.8265177072426956,0.6826912414785671,0.40644026541025,0.573282927805963,0.6158434503671848,0.8273209021903362,0.6088857752720468,0.6730159810951384,0.8540044024576258,0.9549114166732384,0.518164298979975,0.8065224626886686,0.36270789798598374,0.6236528512246925,0.6618543408675546,0.443642111081717,0.8421946587283676,0.7764058513335295,0.5709001506828139,0.5874547870345667,0.6606531815968391,1.0479300742755118
3.6539,0.5573168324667686,0.7809147190238702,0.695866394945381,0.7367626029257385,0.723597510755111,0.5787942778509496,0.8124472382998964,0.9018436860196272,0.5680954800987469,0.7610078818172964,0.7109936629453668,1.1551139475825665,1.2562739849006679,0.6110966788246974,0.6814158361106906,0.8082072717775333,0.7800300432669546,0.6625468846815121,0.6829568093888638,0.9537721917683094,0.7197682747100593,0.7320314200921715,0.7243854460698227,0.8856465280498683,0.6172493636391571,0.9037643347072137,0.5692059121431293,0.65108595522359,0.690206609687766,0.4939122399225128,0.589105211837169,0.9864534079511224,0.9166553672840471,0.5540734707820644,0.605233793229891,0.5832207821370693,0.8118428288724279,0.8397169635625926,0.6731394530381167,0.7919464416772082,0.893437976333214,0.9766701089734084,0.7089564835577101,0.6981783210039654,1.022973289057838,0.6566168114615986,0.7949586284045187,0.5980668014406297,0.6535272929430921,0.9383285092083351,0.83856527974703,0.8247321802273122,0.4854634318981363,0.5892507463112969,0.5598792073149698,0.8450229113261293,0.6674640672833456,0.7525225303094893,0.8517018831735663,0.9335622428375305,0.6440705105103325,0.9414102106628793,0.48746816764404804,0.8278496352243043,0.7427006276885835,0.45809970960308527,0.9193970406784656,0.8865725450057884,0.7022322386933267,0.7916449930310094,0.7661154013669448,0.9980998909112804
3.65891,0.5527633287660456,0.644365664663616,0.5954581367538532,0.7081341525071914,0.7106251166094016,0.5548454270473206,0.7531791698427674,0.9240504331475131,0.572164009405882,0.735359404635912,0.6871871686965906,1.0719066772562031,1.1264118270073697,0.6292046307154637,0.7004021785090817,0.7919051201967033,0.7884597361175795,0.6191314442948107,0.689345145600017,0.9097881020480141,0.5710784338994707,0.6991074319534787,0.6779336383002076,0.8087153120179611,0.5762690724020447,0.835804202216959,0.5642707004642077,0.6324719312489884,0.6441734501862778,0.4836290452027403,0.5816208606713343,0.8592620227724445,0.8465217166031123,0.5115620156525048,0.5641126670974111,0.569385378869249,0.7215026771438213,0.7741886011141801,0.6215902854545198,0.7234711083389707,0.8127264538819827,0.8387657975875117,0.6490586823225135,0.6502479377520768,0.9391989491776669,0.5896377788926848,0.721967051587585,0.5494596174551695,0.6673088361935708,0.9006693881030308,0.7732951437922201,0.7484166548272578,0.5148692483514988,0.570583113352081,0.5358158915687561,0.7499814064171624,0.5402097441067734,0.7038239119045121,0.8212403753737765,0.9066219640333002,0.6278033966644025,0.9012584554793603,0.5426368777056162,0.7517434075970115,0.7721987487878621,0.4109087481346337,0.9112240137475237,0.833140701022684,0.6724013294455858,0.6523921000369503,0.6865033292739515,0.9416569424667885
3.66391,0.6375705693555188,0.758898647067358,0.6683514692172979,0.7347851664571445,0.7992227205867822,0.5707091287733564,0.7592793264629384,1.0253871746110115,0.5916713483085968,0.7488579107082899,0.7449352520757819,1.1506725513828497,1.0631419964255844,0.66530312366835,0.728884097267854,0.7981659896184791,0.8660092131096215,0.6535036375044398,0.7510847071412958,0.878909407260603,0.6918190790650947,0.7027029157754451,0.7033713819182725,0.8367495129511653,0.6145648600067075,0.889150473281505,0.6098643732838063,0.6560919304926328,0.6544123611492545,0.5174674731365851,0.6552007101400872,0.9629474128360981,0.9398171295761969,0.5531937322506641,0.5986968835770681,0.6097262220128437,0.8027726699188448,0.8189667149196835,0.6464781582236511,0.7802758143573807,0.895984739663198,0.9468691338941388,0.6969809639752284,0.7461688913009278,0.9748702797214673,0.7155692051097925,0.7539104920563089,0.5975553622151935,0.7311740411737451,0.9326036473003987,0.81175016143295,0.9236580948266119,0.5775471407609354,0.5930067769382803,0.566287166594062,0.8001439316106698,0.5908642498419034,0.8517848087626312,0.8672274417746524,0.9031411204731303,0.7319523716555834,0.9460875131299736,0.6946621948984274,0.8521854877241305,0.8453062019578927,0.488785384945303,0.9619363521719153,0.9470537568716036,0.7795570613513584,0.8459391423827809,0.7644941822286766,0.9422968874745558
3.66891,0.6825546653772421,0.7282243710178758,0.6948347842829707,0.7271264982419435,0.808461478042238,0.5915203972006808,0.7608299657956438,1.0233774291544506,0.6062055837211876,0.7712764821969172,0.7375173911554262,1.0633691373444636,1.066056300699944,0.6909307054483265,0.7481494383637639,0.8018269469346911,0.8938740311436312,0.6588218746780532,0.8030216996628723,0.9094438860376051,0.6994437684114673,0.742168867258077,0.7267781679620409,0.821386955058879,0.6390714015281476,0.8955491062808857,0.6165682644778429,0.6966798310389493,0.6728267433453674,0.5753488535615172,0.7090934619769707,0.9816909373768699,0.8890102382587534,0.5609456147955156,0.6267091734782699,0.6250462704774802,0.7854254097246144,0.8200692404034534,0.6728313614507617,0.7875920831284604,0.8743330763364814,0.8816271397572442,0.6930581521339261,0.7097643271806486,0.9942543541239223,0.6567913198938582,0.7865578478184019,0.6005728536452671,0.750591176917459,0.8892112205380309,0.8621909549651072,0.8803918193743618,0.6124875341736591,0.6299020085981655,0.6413663901400204,0.8170932568934449,0.6174157768180153,0.8011535143180667,0.8800475402169688,0.8806606724803673,0.7728779880299639,0.9456280300160776,0.7838252388291357,0.8289715202189425,0.8616098615193843,0.5241626970220402,0.9514270875614583,0.9182208077328852,0.7485354462004019,0.7851000231504184,0.7729896258233029,0.9560778416040816
3.67391,0.7017999286914662,0.6955796477053878,0.6733426646973752,0.6952852133184184,0.7464543353679378,0.601284132133622,0.7706384910086524,0.9680602085856489,0.5824407000104147,0.7576332552992021,0.6970839097219769,0.9289749889351849,1.0371410863035269,0.6766866371911926,0.6735894416130513,0.7310671769265207,0.8550469151701027,0.6605609606736439,0.7629234129822421,0.8775745207812123,0.6567131136402536,0.7201157011442826,0.7320967381097301,0.8116299215024504,0.6742786632145408,0.8945678203582936,0.6086742777590083,0.6967747850463286,0.672110970214149,0.5698856830519509,0.6595557347677431,0.8925547556640321,0.8116963033175065,0.5406335553145785,0.626258955863,0.6152603833199719,0.7774825507280249,0.7545229019960665,0.6786368546057755,0.7863065439875845,0.8590190961817578,0.8210602483875542,0.651788656314218,0.6794999164265467,1.00849315379704,0.6058296149314121,0.8037353740443655,0.5664854292699419,0.7090490735746153,0.8299732541644044,0.7956784303896162,0.8673421930823937,0.5869320884853256,0.6270769484725207,0.6507265663928758,0.7926941652833044,0.6125239441922495,0.8048520966526937,0.8652291839674152,0.8534303233794558,0.7558196882590916,0.815335113180826,0.7487697238288873,0.8086413548923107,0.8247777449506132,0.5497234871241542,0.9023737061863641,0.8647520173772297,0.6906700857379376,0.7326117213257111,0.7154299636622661,0.9305766367662672
