"Metabolite","Mean_C","SD_C","Mean_H","SD_H","trend","FC","log2FC","p_value","P_adj"
"Leucine",17.7010614438722,2.30897690025759,19.1826901351896,1.87772426087086,"Down",0.922762204838024,-0.115969180603585,0.00944234755103415,0.0483959361222575
"Lactate",25.2803126528971,4.82394421672523,22.6254281598203,3.60849044310711,"Up",1.11734074044139,0.160069212304152,0.0147370094682762,0.0483959361222575
"Threonine",27.6604839136356,4.48158672856441,24.8015873915759,3.54234504887295,"Up",1.1152707073512,0.157393935034195,0.00753418563743928,0.0483959361222575
"Alanine",9.25754993982017,1.16848031926969,10.0846458439272,1.14273293539743,"Down",0.917984635563069,-0.123458087634406,0.00841985121792112,0.0483959361222575
"Lysine",21.68988615276,2.81584979242054,23.3754958392921,2.29241671081453,"Down",0.927889885283258,-0.107974487144049,0.0161319787074192,0.0483959361222575
"Phenylalanine",16.1501484612108,2.52030588779436,17.9952561769902,2.81872428614965,"Down",0.897466993654768,-0.156069213295632,0.0117410695490374,0.0483959361222575
"Formate",0.4589648719664,0.168419143371886,0.688698284570893,0.231853589239474,"Down",0.666423718845716,-0.585488345966414,0.000100515895926223,0.00211083381445069
