Model,CV Accuracy,CV F1,CV AUC
SVM,0.724 +/- 0.091,0.746 +/- 0.078,0.735 +/- 0.136
Random Forest,0.706 +/- 0.107,0.711 +/- 0.102,0.750 +/- 0.128
Naive Bayes,0.689 +/- 0.106,0.656 +/- 0.133,0.796 +/- 0.112
Gradient Boosting,0.678 +/- 0.124,0.688 +/- 0.123,0.729 +/- 0.126
KNN,0.663 +/- 0.117,0.661 +/- 0.126,0.720 +/- 0.130
XGBoost,0.659 +/- 0.118,0.656 +/- 0.123,0.725 +/- 0.119
Logistic Regression,0.646 +/- 0.110,0.642 +/- 0.124,0.716 +/- 0.122
Decision Tree,0.602 +/- 0.107,0.592 +/- 0.122,0.600 +/- 0.107
Neural Network,0.599 +/- 0.131,0.599 +/- 0.136,0.682 +/- 0.143
