Feature,Mean_BMI<30,Mean_BMI>=30,SD_BMI<30,SD_BMI>=30,FC,log2FC,Cohen_d,p_value,p_adj,Significant
Pyrocatechol,0.000492517889484632,0.001114759292501252,0.0005697087124407665,0.000770989015271657,2.2633884297435976,1.178484192902191,0.9179478709393083,0.0022387769349004843,0.01701780743277418,True
SebacicAcid,0.005434595438799888,0.004563322010173388,0.0010129426280427382,0.000883192848405378,0.8396801678362094,-0.2520881814512038,-0.9168550682375068,0.00218494653514932,0.01701780743277418,True
2-MethylglutaricAcid,0.002449834256762664,0.002908176550370048,0.00040798181910690196,0.0005773811085077294,1.1870911439588818,0.24743070826490182,0.9168513692284632,0.0022931797249837547,0.01701780743277418,True
L-Aspartate,0.005492762516534688,0.0032187032318036477,0.0015932779061894472,0.00310242238630593,0.5859898770635883,-0.7710523524860916,-0.9221178833143971,0.002444124561923646,0.017231078161561702,True
L-GlutamicAcid,0.006895424399968495,0.008957384709505602,0.0023344029687267574,0.0022631440371670007,1.299033125436997,0.37743822008090916,0.8968750856523707,0.0026485817943847027,0.017783334905154432,True
D-Glucose-6-Phosphate,0.0016941146256397321,0.000762384014599296,0.0011399313976879722,0.0009747715652842981,0.4500191445495634,-1.1519417175356894,-0.8785176094918254,0.00321529148186912,0.01971113473667591,True
Azelaic Acid,0.000755479567870856,0.00137676896152998,0.0006967028239520255,0.000717891497709194,1.8223774938216848,0.8658218351303801,0.8783008667592574,0.0031881073281336096,0.01971113473667591,True
HippuricAcid,0.000959330977588864,0.001176443766555532,0.00018726538897640037,0.00029544086763489845,1.2263168750292508,0.2943318134209224,0.8777927123033759,0.003476329644787263,0.02042343666312517,True
Xylitol,0.000593005651944832,0.0012511008427437001,0.0008424773235216928,0.0006709604011621304,2.109762088507196,1.0770803197462868,0.8641377458676155,0.0037463498086468703,0.021129412920768347,True
L-Asparagine,0.004896479265529235,0.003092453476805424,0.0013806453425726783,0.002712873335683007,0.6315667460446555,-0.6629928840746909,-0.8381365789376346,0.005394015090562507,0.029252158760358214,True
2-Oxoisovalerate,0.007244024289403572,0.008101439250424792,0.0007501782656804815,0.0012849969126945894,1.1183616905144051,0.16138684714618176,0.8149271133918057,0.006432407709827691,0.032391767395918016,True
Cadaverine,0.0012882797204240481,0.000807799147648512,0.0005485207448196923,0.0006351982821809464,0.6270370749782649,-0.6733773467468794,-0.8096475311210527,0.006257897673193584,0.032391767395918016,True
3-Hydroxybutyrate,0.006217655543847732,0.0069944900296565315,0.0007017457158956773,0.0011698422791045046,1.1249400968468677,0.1698481798575074,0.8053281393637296,0.006978034844972137,0.032796763771369045,True
L-Leucine,0.003982269942675596,0.004527198132952972,0.0005976545823335443,0.0007519237307633751,1.1368385865653425,0.1850274284668193,0.8023284378197804,0.006774366575609861,0.032796763771369045,True
Myo-Inositol,0.0028559581757016277,0.001636139015418136,0.0012916172392507096,0.0017560981360907788,0.5728861960718956,-0.8036795190277899,-0.7913436381277065,0.007599886297273538,0.034567224771469965,True
L-Isoleucine,0.007168123036608803,0.007949383929192047,0.0006624272432387776,0.0012385104911159337,1.1089909992606453,0.1492476564151083,0.786644607383091,0.008497921194325443,0.037443965262496486,True
4-AminoHippuricAcid,0.0006320388616702719,0.0008717444887737641,0.00030551732990845293,0.00031741915783857505,1.3792577349912134,0.46389207124655435,0.7694585011075932,0.009056519879319021,0.03869603948436309,True
Propionate,0.00020332520863535202,0.000579748909256048,0.0003177471046325391,0.0006107919773386613,2.851338076311938,1.5116391063058168,0.7731949617254161,0.009640948525504761,0.0399815806498874,True
