Feature,Mean_BMI<30,Mean_BMI>=30,SD_BMI<30,SD_BMI>=30,FC,log2FC,Cohen_d,p_value,p_adj,Significant
L-Lysine,0.003647261784374764,0.005029621159417964,0.0009672496178205883,0.0011450040015509417,1.3790129299096012,0.46363598392151556,1.3042850133454065,3.120884227212279e-05,0.004400446760369314,True
Adenine,0.000556506951049772,0.001033422238740376,0.00040409548623193193,0.0004102860252605866,1.8569799295246363,0.8929582225260249,1.171199254223798,0.00013924289332043716,0.00981662397909082,True
QuinolinicAcid,0.001652870862132928,0.00259865833406714,0.0006915850445005311,0.0009780572084318203,1.5722089327134314,0.6527929517951311,1.1166058259310798,0.0002862190754942766,0.010089222411173252,True
D-Fucose,0.0065735302460677445,0.0016802264109779719,0.004778408228496851,0.00396494948077097,0.2556048801909865,-1.9680127133750605,-1.1145059853424064,0.0002719870204153263,0.010089222411173252,True
KynurenicAcid,0.001098402329086384,0.0017140465421582119,0.0004630138655801599,0.000670882858878549,1.560490629680202,0.6419996942936553,1.0680916797635147,0.0004877809084567312,0.010479742239955011,True
2-PicolinicAcid,0.001112702030563404,0.002189285183625388,0.0008445212237919177,0.0011623579271202518,1.96753948810255,0.9763925906085119,1.0596855382824377,0.0005202708913452842,0.010479742239955011,True
L-Alanine,0.0044814476503779515,0.005275857711148052,0.0006079922919097313,0.0008593153203545402,1.177266393082401,0.2354408118742408,1.067270918349269,0.00048596260454197555,0.010479742239955011,True
BenzoicAcid,0.0007029205859622919,0.001167743676308332,0.00035032477644107604,0.0005321235199439025,1.661273975508487,0.7322900206286728,1.0318161468562095,0.0007310857317946367,0.010761742148812814,True
Hypoxanthine,0.000313272216903072,0.000592830201986188,0.00025835662879313345,0.00029009107278195903,1.8923803963426882,0.9202021207890627,1.01774943981625,0.0007632441240292777,0.010761742148812814,True
PhenylglyoxylicAcid,0.0007683590689317961,0.0012179606615095242,0.00035318006228511026,0.0005017376876378817,1.5851451629285542,0.6646149641801731,1.0362718309819277,0.0006761154178034566,0.010761742148812814,True
NicotinicAcid,0.0008545647403327,0.0015182065696564197,0.0005228568482851734,0.0007867110187475322,1.776584614367953,0.8291064023319412,0.9935617924772119,0.0010803037131850942,0.012693568629924858,True
Indoxylsulfate,0.001251074975347824,0.00193849044281368,0.0005597428128087115,0.0007986175994469406,1.5494598493385583,0.6317653713096453,0.9968291524428652,0.0010216505869164946,0.012693568629924858,True
Oxypurinol,0.00017871261660204,0.000604091191367996,0.00032716966799342683,0.0005259347913848317,3.380238076381566,1.7571248617497925,0.9712353522163816,0.0013943551129035042,0.015123390070722623,True
MandelicAcid,0.000277148348821064,0.0004891619189226161,0.0001993162807961249,0.00024371429760004153,1.7649822595134237,0.8196536825102606,0.9523356433864246,0.001539459299952062,0.015394086029565863,True
2-HydroxybutyricAcid,0.00405437777625204,0.00501410864867592,0.0009909293781805984,0.0010412921143284474,1.23671471317877,0.30651273608577106,0.9442241417663816,0.00163766872654956,0.015394086029565863,True
EthylmalonicAcid,0.011226202754886411,0.012210679030454207,0.0007945818970023652,0.0012387247118543097,1.0876945033920116,0.1212734092262834,0.9460435907133474,0.0017724721211340364,0.015619910567493695,True
